Sent RTT request to mno at 1543049897.5334961
Sent RTT request to def at 1543049897.564607
Sent RTT request to mno at 1543049897.569956
Sent RTT request to jkl at 1543049897.570017
Sent RTT request to jkl at 1543049897.570382
Sent RTT request to def at 1543049897.5707688
Received RTT request from mno at 1543049897.5762649
Sent RTT request to mno at 1543049897.57638
Sent RTT request to jkl at 1543049897.581602
Sent RTT request to def at 1543049897.587117
Sent RTT request to jkl at 1543049897.5873868
Sent RTT request to mno at 1543049897.587459
Received new RTT sum from abc at 1543049897.587507
Sent RTT request to def at 1543049897.587988
Sent RTT request to mno at 1543049897.5881312
Sent RTT request to jkl at 1543049897.594539
Received RTT request from mno at 1543049897.5946581
Sent RTT request to def at 1543049897.594774
Sent RTT request to jkl at 1543049897.595113
Sent RTT request to mno at 1543049897.595152
Sent RTT request to def at 1543049897.595169
Sent RTT request to jkl at 1543049897.595498
Sent RTT request to mno at 1543049897.5955148
Sent RTT request to def at 1543049897.595655
Sent RTT request to mno at 1543049897.5959702
Sent RTT request to jkl at 1543049897.596138
Sent RTT request to def at 1543049897.59661
Sent RTT request to mno at 1543049897.596809
Sent RTT request to jkl at 1543049897.596905
Received RTT request from mno at 1543049897.634688
Sent RTT request to def at 1543049897.640971
Sent RTT request to jkl at 1543049897.641034
Sent RTT request to mno at 1543049897.646212
Sent RTT request to jkl at 1543049897.651924
Received RTT request from mno at 1543049897.652077
Sent RTT request to mno at 1543049897.668927
Sent RTT request to def at 1543049897.669173
Sent RTT request to jkl at 1543049897.669297
Sent RTT request to mno at 1543049897.66946
Sent RTT request to def at 1543049897.670047
Sent RTT request to mno at 1543049897.6700642
Sent RTT request to jkl at 1543049897.67013
Sent RTT request to jkl at 1543049897.6948311
Sent RTT request to mno at 1543049897.7005062
Sent RTT request to def at 1543049897.7068968
Received new RTT sum from def at 1543049897.707032
Sent RTT request to mno at 1543049897.7155352
Sent RTT request to jkl at 1543049897.71584
Sent RTT request to def at 1543049897.747235
Sent RTT request to jkl at 1543049897.752617
Sent RTT request to mno at 1543049897.752641
Sent RTT request to def at 1543049897.7702038
Received new RTT sum from def at 1543049897.770367
Sent RTT request to mno at 1543049897.77073
Sent RTT request to def at 1543049897.770886
Sent RTT request to mno at 1543049897.771265
Sent RTT request to mno at 1543049897.796145
Received RTT request from mno at 1543049897.801753
Sent RTT request to mno at 1543049897.8081238
Received RTT request from mno at 1543049897.81898
Sent RTT request to mno at 1543049897.818999
Sent RTT request to mno at 1543049897.825589
Received RTT request from mno at 1543049897.837301
Sent RTT request to mno at 1543049897.8375301
Sent RTT request to mno at 1543049897.837962
Sent RTT request to mno at 1543049897.844609
Received RTT request from mno at 1543049897.86303
Sent RTT request to mno at 1543049897.869045
Sent RTT request to mno at 1543049897.869262
Sent RTT request to mno at 1543049897.8697479
Received RTT request from mno at 1543049897.893831
Sent RTT request to mno at 1543049897.905508
Sent RTT request to mno at 1543049897.911229
Received RTT request from mno at 1543049897.9131289
Sent RTT request to mno at 1543049897.930472
Received RTT request from mno at 1543049897.9653609
Sent RTT request to mno at 1543049897.965386
Sent RTT request to mno at 1543049897.9784698
Sent RTT request to mno at 1543049897.9907908
Received RTT request from mno at 1543049898.002317
Sent RTT request to mno at 1543049898.008785
Received RTT request from mno at 1543049898.021548
Sent RTT request to mno at 1543049898.033371
Received RTT request from mno at 1543049898.051774
Sent RTT request to mno at 1543049898.051858
Sent RTT request to mno at 1543049898.0585759
Sent RTT request to mno at 1543049898.059032
Received RTT request from mno at 1543049898.059297
Sent RTT request to mno at 1543049898.065669
Sent RTT request to mno at 1543049898.0720909
Received RTT request from mno at 1543049898.078518
Sent RTT request to mno at 1543049898.090821
Sent RTT request to mno at 1543049898.103589
Sent RTT request to mno at 1543049898.134135
Received RTT request from mno at 1543049898.141421
Sent RTT request to mno at 1543049898.153226
Sent RTT request to mno at 1543049898.166037
Calculated new RTT sum 1.3018932342529297 at 1543049898.1847339
Received RTT request from mno at 1543049898.20271
Received RTT request from mno at 1543049898.23857
Received RTT request from mno at 1543049898.267512
Received RTT request from mno at 1543049898.291172
Received RTT request from mno at 1543049898.291699
Received RTT request from mno at 1543049898.292266
Received RTT request from mno at 1543049898.292533
Received RTT request from mno at 1543049898.292939
Received RTT request from mno at 1543049898.293422
Received RTT request from mno at 1543049898.3469172
Received RTT request from mno at 1543049898.3791811
Received new RTT sum from jkl at 1543049898.408907
Updated hub from jkl to jkl at 1543049898.42039
Received RTT request from mno at 1543049898.443587
Received RTT request from mno at 1543049898.472809
Received RTT request from mno at 1543049898.4733582
Received RTT request from mno at 1543049898.47374
Received RTT request from mno at 1543049898.479456
Received RTT request from mno at 1543049898.509723
Received RTT request from mno at 1543049898.528752
Received RTT request from mno at 1543049898.552425
Received RTT request from mno at 1543049898.5660028
Received RTT request from mno at 1543049898.5662808
Received RTT request from mno at 1543049898.5666602
Received RTT request from mno at 1543049898.5672472
Received RTT request from mno at 1543049898.5675142
Received RTT request from mno at 1543049898.567889
Received RTT request from mno at 1543049898.585255
Received RTT request from mno at 1543049898.5855749
Received RTT request from mno at 1543049898.586096
Received RTT request from mno at 1543049898.592384
Received RTT request from mno at 1543049898.59267
Received RTT request from mno at 1543049898.5933802
Received RTT request from mno at 1543049898.636818
Received RTT request from mno at 1543049898.6552682
Received RTT request from mno at 1543049898.6677241
Received RTT request from mno at 1543049898.692873
Received new RTT sum from abc at 1543049898.699199
Received RTT request from mno at 1543049898.722539
Received RTT request from mno at 1543049898.728535
Received RTT request from mno at 1543049898.75823
Received RTT request from mno at 1543049898.769753
Received new RTT sum from def at 1543049898.77573
Received RTT request from mno at 1543049898.776039
Received RTT request from mno at 1543049898.7765892
Received RTT request from mno at 1543049898.789449
Received RTT request from mno at 1543049898.789922
Received RTT request from mno at 1543049898.7970781
Received RTT request from mno at 1543049898.8099499
Received RTT request from mno at 1543049898.8103712
Received RTT request from mno at 1543049898.817236
Received RTT request from mno at 1543049898.8241248
Received RTT request from mno at 1543049898.8246589
Received RTT request from mno at 1543049898.835705
Received RTT request from mno at 1543049898.8658948
Received RTT request from mno at 1543049898.890272
Received RTT request from mno at 1543049898.903172
Received RTT request from mno at 1543049898.910052
Received RTT request from mno at 1543049898.910335
Received RTT request from mno at 1543049898.910604
Received RTT request from mno at 1543049898.910869
Received RTT request from mno at 1543049898.911134
Received RTT request from mno at 1543049898.917682
Received RTT request from mno at 1543049898.917974
Received RTT request from mno at 1543049898.918248
Received RTT request from mno at 1543049898.918516
Received RTT request from mno at 1543049898.931222
Received RTT request from mno at 1543049898.937831
Received RTT request from mno at 1543049898.938117
Received RTT request from mno at 1543049898.938408
Received RTT request from mno at 1543049898.9386811
Received RTT request from mno at 1543049898.945237
Received RTT request from mno at 1543049898.95649
Received RTT request from mno at 1543049898.980372
Received RTT request from mno at 1543049898.9985878
Received RTT request from mno at 1543049899.010807
Received RTT request from mno at 1543049899.01747
Received RTT request from mno at 1543049899.0231109
Received RTT request from mno at 1543049899.023411
Received RTT request from mno at 1543049899.028834
Received RTT request from mno at 1543049899.029112
Received RTT request from mno at 1543049899.03012
Received RTT request from mno at 1543049899.0367281
Received RTT request from mno at 1543049899.04394
Received RTT request from mno at 1543049899.0442398
Received RTT request from mno at 1543049899.044529
Received RTT request from mno at 1543049899.0619671
Received RTT request from mno at 1543049899.062465
Received RTT request from mno at 1543049899.0692039
Received RTT request from mno at 1543049899.0754292
Received new RTT sum from mno at 1543049899.102747
Received new RTT sum from jkl at 1543049899.113832
Received new RTT sum from mno at 1543049899.149368
Initialized hub to jkl at 1543049899.261693
Sent RTT request to abc at 1543049904.297476
Sent RTT request to abc at 1543049904.345052
Sent RTT request to jkl at 1543049904.381374
Received RTT request from abc at 1543049904.381642
Received RTT request from abc at 1543049904.387609
Sent RTT request to jkl at 1543049904.3880682
Sent RTT request to jkl at 1543049904.4006689
Received RTT request from abc at 1543049904.4070652
Sent RTT request to def at 1543049904.419992
Received RTT request from def at 1543049904.4200552
Sent RTT request to def at 1543049904.426904
Received RTT request from def at 1543049904.4324
Sent RTT request to mno at 1543049904.432894
Sent RTT request to mno at 1543049904.461681
Sent RTT request to mno at 1543049904.48048
Calculated new RTT sum 0.1703629493713379 at 1543049904.492813
Received new RTT sum from abc at 1543049904.518095
Received new RTT sum from def at 1543049904.543552
Received file ghitester.txt from jkl at 1543049904.641875
Received RTT request from jkl at 1543049904.8913112
Received RTT request from jkl at 1543049904.916606
Received RTT request from mno at 1543049905.037347
Received new RTT sum from jkl at 1543049905.0502698
Received RTT request from mno at 1543049905.050334
Received RTT request from mno at 1543049905.068523
Received new RTT sum from mno at 1543049905.086805
Sent RTT request to abc at 1543049909.575836
Sent RTT request to abc at 1543049909.611941
Sent RTT request to jkl at 1543049909.635387
Received RTT request from abc at 1543049909.646422
Sent RTT request to jkl at 1543049909.670733
Received RTT request from abc at 1543049909.6707578
Sent RTT request to def at 1543049909.677299
Sent RTT request to def at 1543049909.702271
Received RTT request from def at 1543049909.715043
Received RTT request from def at 1543049909.732676
Sent RTT request to mno at 1543049909.732699
Received RTT request from def at 1543049909.7330718
Sent RTT request to mno at 1543049909.7334652
Received RTT request from def at 1543049909.7744179
Sent RTT request to mno at 1543049909.7805738
Received new RTT sum from abc at 1543049909.781152
Calculated new RTT sum 0.16925501823425293 at 1543049909.7874508
Received new RTT sum from def at 1543049909.906713
Received RTT request from jkl at 1543049910.150027
Received RTT request from jkl at 1543049910.1563442
Received RTT request from jkl at 1543049910.167692
Received RTT request from jkl at 1543049910.168226
Received RTT request from mno at 1543049910.2562702
Received RTT request from mno at 1543049910.268661
Received RTT request from mno at 1543049910.297716
Received new RTT sum from jkl at 1543049910.316258
Received new RTT sum from mno at 1543049910.323101
Sent RTT request to abc at 1543049914.8682082
Sent RTT request to abc at 1543049914.898083
Sent RTT request to abc at 1543049914.916194
Sent RTT request to jkl at 1543049914.928834
Received RTT request from abc at 1543049914.9290502
Received RTT request from abc at 1543049914.951545
Sent RTT request to jkl at 1543049914.9516668
Received RTT request from abc at 1543049914.9516869
Sent RTT request to jkl at 1543049914.963181
Received RTT request from def at 1543049914.98768
Received RTT request from def at 1543049914.987751
Sent RTT request to jkl at 1543049914.988022
Sent RTT request to def at 1543049914.988707
Received RTT request from def at 1543049914.995599
Sent RTT request to def at 1543049915.001601
Sent RTT request to def at 1543049915.008267
Sent RTT request to def at 1543049915.0203352
Received new RTT sum from abc at 1543049915.020583
Sent RTT request to mno at 1543049915.0211608
Sent RTT request to mno at 1543049915.027333
Sent RTT request to mno at 1543049915.032911
Sent RTT request to mno at 1543049915.038721
Calculated new RTT sum 0.061849117279052734 at 1543049915.045273
Received new RTT sum from def at 1543049915.093757
Received RTT request from jkl at 1543049915.3969321
Received RTT request from jkl at 1543049915.4148061
Received RTT request from jkl at 1543049915.427767
Received RTT request from mno at 1543049915.4697092
Received RTT request from mno at 1543049915.4697459
Received RTT request from mno at 1543049915.492324
Received RTT request from mno at 1543049915.492427
Received RTT request from mno at 1543049915.4926589
Received RTT request from mno at 1543049915.4931378
Received new RTT sum from mno at 1543049915.548314
Received new RTT sum from jkl at 1543049915.5547059
Received file ghitester.txt from mno at 1543049919.638239
Sent RTT request to abc at 1543049920.127174
Sent RTT request to abc at 1543049920.156091
Sent RTT request to jkl at 1543049920.173883
Received RTT request from abc at 1543049920.173909
Received RTT request from abc at 1543049920.174131
Received RTT request from abc at 1543049920.1746938
Sent RTT request to jkl at 1543049920.17485
Sent RTT request to jkl at 1543049920.1856372
Received RTT request from abc at 1543049920.185719
